"03+DNY3050";"MUÑECO SOFT WOODY";0.00;24.00;31487.2800;49900.0000;0.00;"7798136110979";"";" 12-00-00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+RDS1060";"PEPONA NEW STYLE SUPER NEW TOYS";0.00;24.00;1728.0000;3050.0000;0.00;"7798136110924";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+RDS2100";"MI BEBITO CAJA NEW TOYS";0.00;24.00;1728.0000;3050.0000;0.00;"7798136110931";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+RDS3100";"MI BEBOTE NEW TOYS7798136110948";0.00;24.00;1728.0000;3050.0000;0.00;"7798136110948";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3500";"TRICICLO BODY METAL GIRLY - ARMAZON DE METAL";1.00;24.00;85997.1100;143400.0000;1.00;"7797161035004";"";"";0.00;4.00;1.00;0.00;1.00;2.00;1.00;0.00;1.00
"05+5510";"VEHICULOS EVOLUTION SPORT QUAD - RONDI";0.00;24.00;77214.5400;135200.0000;0.00;"7797161055101";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+5505";"VEHICULOS EVOLUTION GIRL QUAD - RONDI";0.00;24.00;77214.5400;135200.0000;0.00;"7797161055057";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3048";"ANDADOR RINO  - RONDI 7797161030481";0.00;24.00;15443.9600;23200.0000;0.00;"7797161030481";"7797161030481";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3075";"TRICICLO BODY METAL - CON BARRAL Y SOSTEN -";1.00;24.00;85997.1100;143400.0000;1.00;"7797161030757";"7797161030757";"";0.00;4.00;1.00;2.00;0.00;2.00;1.00;2.00;1.00
"03+DNY3100";"MUÑECO MICKEY BABY";0.00;24.00;26243.0300;41600.0000;0.00;"7798136111051";"";"08-03-01";0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+DNY3101";"MUÑECO MINNIE BABY";0.00;24.00;5556.0700;9800.0000;0.00;"7798136111068";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+DNY3102";"FIG SOFT POOH CARRERA EN CAJA SIN SONIDO";0.00;24.00;7680.5500;13500.0000;0.00;"7798136111075";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+DNY3103";"FIG SOFT TIGGER CARRERA EN CAJA SIN SONIDO";0.00;24.00;5556.0700;9800.0000;0.00;"7798136111082";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7740";"DISFRAZ WOODY TOY STORY  T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110504";"";"";0.00;0.00;1.00;0.00;0.00;0.00;0.00;3.00;0.00
"03+CAD7741";"DISFRAZ WOODY TOY STORY  T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110511";"";"21-02-02";0.00;1.00;1.00;0.00;0.00;0.00;0.00;2.00;1.00
"03+CAD7742";"DISFRAZ WOODY TOY STORY  T2";6.00;24.00;37043.8800;58700.0000;6.00;"7798136110528";"";"21-02-02 12-0";0.00;1.00;1.00;1.00;4.00;2.00;0.00;0.00;1.00
"03+CAD7851";"DISFRAZ LA SIRENITA T0";0.00;24.00;11261.3800;16900.0000;0.00;"7798136110443";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7852";"DISFRAZ LA SIRENITA T1";0.00;24.00;11261.3800;16900.0000;0.00;"7798136110450";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7853";"DISFRAZ LA SIRENITA T2";0.00;24.00;11261.3800;16900.0000;0.00;"7798136110467";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3044";"ANDADOR ELEFANTE ROSA";0.00;24.00;47289.6400;78900.0000;0.00;"7797161030443";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3043";"ANDADOR ELEFANTE AZUL";0.00;24.00;47289.6400;78900.0000;0.00;"7797161030436";"";"";0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3111";"ANDADOR MR PUPPY";0.00;24.00;47289.6400;78900.0000;0.00;"7797161031112";"";"";0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00
"05+3300";"COCINA MAGIC CON ACCESORIOS";0.00;24.00;77375.8900;129000.0000;0.00;"7797161033000";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3061";"MESA Y SILLA OSITOS ROJA/AZUL";0.00;24.00;52391.9800;87400.0000;0.00;"7797161030610";"";"11-04-04";0.00;1.00;0.00;2.00;0.00;1.00;1.00;3.00;0.00
"05+3036";"ANDADOR 2 EN 1 TOP CON SONIDO ELECTRONICO -BARRA DE ARRASTRE";0.00;24.00;34656.1000;52000.0000;0.00;"7797161030368";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
